the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta,council,schooldist,policeprct,censtract,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasource,uid
0101000020E610000048996BE0FF7A52C05BCA09BCA6704440,0101000020110F0000AF3B4D2914645FC1ED50B9B19B0D5341,PARK,,,,BRONX,10463,BRONX,2,0,2057430001,208,BX29,11,10,50,029301,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8800966257,-73.9218689022,1005855.72788,259930.396864,dpr_parksproperties,2eba9308b0b3e0dde527091834361cda
0101000020E610000004289B88287B52C0AF3DECC35D684440,0101000020110F0000DF0FA73859645FC140956D634E045341,RYAN TRIANGLE,,,,BRONX,10451,BRONX,2,0,0,201,BX39,8,07,40,005100,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8153697706,-73.924350404,1005189.88003,236347.358688,dpr_parksproperties,31ee09cafe43c609c598e82484e04747
0101000020E610000080F0A0635B8052C0F7834D4D2F5C4440,0101000020110F000067FC39D02D6D5FC169F8E95DA5F65241,TRIBECA PARK,,,,NEW YORK,10013,MANHATTAN,1,0,0,101,MN24,1,02,1,003300,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7202017989,-74.0055794019,982703.407608,201665.514014,dpr_parksproperties,323de05375326fed2f63b474a447aa52
0101000020E61000009BF94B41DD7952C055D59AE04F6F4440,0101000020110F0000D758E78226625FC1F48C7E981A0C5341,MAJOR GENERAL JOHN R BROWN TRIANGLE,,,,BRONX,10463,BRONX,2,0,2032370200,207,BX30,14,10,52,026900,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8696334542,-73.9041307627,1010765.05668,256123.12309,dpr_parksproperties,3417040dd6caacc4af36ae3377e2419c
0101000020E6100000D86DC2F5777752C0F29E9D3EDC574440,0101000020110F000019B998C4145E5FC1B36FB41FCDF15241,LEGION TRIANGLE,,,,WOODHAVEN,11421,QUEENS,4,0,0,409,QN53,30,27,102,000600,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6864170875,-73.8666981797,1021219.55549,189384.813611,dpr_parksproperties,350c076da5dbd91c1e3ea878a3bfc463
0101000020E61000001A31FD1C807C52C01F76CDFA12684440,0101000020110F000002826BD3A0665FC1D3A13777FA035341,ADAM CLAYTON POWELL JR. MALLS,,,,NEW YORK,10027,MANHATTAN,1,0,0,110,MN03,9,05,32,022600,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.8130874927,-73.945320847,999385.761427,235511.525171,dpr_parksproperties,36249edcbadbbba800397c7f71d4792c
0101000020E61000002B4AB58ADF7552C00F399E8040644440,0101000020110F0000AB1752075F5B5FC19C0EFDB4B0FF5241,MALL EIGHTEEN,,,,COLLEGE POINT,11356,QUEENS,4,0,4040920004,407,QN23,19,25,109,092500,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7832267336,-73.8417703114,1028069.26335,224667.061671,dpr_parksproperties,36b572446fd6d29a2e805e78dcc61274
0101000020E610000062060149A87C52C00D81F71F04514440,0101000020110F000022B0DA0FE5665FC1C1D6737F23EA5241,HILLEL PLACE PLAZA,,,,BROOKLYN,11210,BROOKLYN,3,0,0,314,BK42,45,22,70,077400,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.6329466233,-73.9477727365,998746.183343,169880.220668,dot_pedplazas,a5fdbb633e5c7fc38251ece4f989185a
0101000020E6100000C11FA86DC17E52C0885AD5D216594440,0101000020110F0000CE612374756A5FC1D68A0D7C2DF35241,ARBOR PLACE,,,,BROOKLYN,11201,BROOKLYN,3,0,0,302,BK38,35,13,88,001500,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6960172734,-73.9805573679,989641.391135,192854.911879,dpr_parksproperties,399fbae2c3e96e0b1cc92d83859ca360
0101000020E610000021C2FDB5697A52C09AE1154643564440,0101000020110F000066AFF71615635FC131A4451C03F05241,EASTERN PARKWAY EXTENSION,,,,BROOKLYN,11233,BROOKLYN,3,3039109,3014540025,316,BK79,41,23,73,036501,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6739362846,-73.9127034975,1008465.10565,184821.633837,dpr_parksproperties,39a583f52910a170b1a48b4d99b7335f
